7841465198	ООО "ПС СТ"	gate.ofd.ru	4000	 crpt.ofd.ru	7000
7709364346	Первый ОФД	k-server.1-ofd.ru	7777	k-server.1-ofd.ru	7788
7704211201	Такском	f1.taxcom.ru	7777	f1.taxcom.ru	8777
9715260691	Платформа ОФД	ofdp.platformaofd.ru	21102	ofdp.platformaofd.ru	19081
7728699517	ОФД-Я	connect.ofd-ya.ru	7779	connect.ofd-ya.ru	7797
7704358518	ООО "Яндекс ОФД"	kkt.ofd.yandex.net	12345	kkt.ofd.yandex.net	54321
4029017981	Астрал ОФД	ofd.astralnalog.ru	7777	ofd.astralnalog.ru	7777
7605016030	Компания "ТЕНЗОР", ООО	kkt.sbis.ru	7777	kkt.sbis.ru	7777
7729633131	Гарант ОФД	ofd.garantexpress.ru	30801	-	0
7801392271	КОРУС ОФД	ofd.esphere.ru	7001	-	0
6658497833	ООО "Контур НТТ"	ofd.kontur.ru	7777	ofd.kontur.ru	7778
2310031475	ОФД АО Тандер	kkt.ofd-magnit.ru	7001	kkt.ofd-magnit.ru	7005
5902034504	ИнитПро ОФД	kkt.ofd-initpro.ru	9999	kkt.ofd-initpro.ru	9996
7729642175	ОФД Группа Элемент	kkt.e-ofd.ru	7777	crpt.e-ofd.ru	5555
